日期,soya_bean_meal_future_price/share,rice_future_price,cron_future_price,W.CBT_price,broiler_chicken/500g,Black-bone_chicken,cock,,,Festival,,发布日期,broiler_chicken/500g,Black-bone_chicken,cock
2022-01-04,3247,3311,2695,770,7,11,12,,,,#N/A,2022-01-01,7,11,12
2022-01-05,3274,3313,2704,760.75,7,11,12,,,,#N/A,2022-01-02,7,11,12
2022-01-06,3247,3363,2688,746,7,11,12,,,元旦节,#N/A,2022-01-03,7,11,12
2022-01-07,3229,3355,2676,758.5,7,11,12,,,,2022-01-04,2022-01-04,7,11,12
2022-01-10,3242,3347,2691,762,7,11,12,,,,2022-01-05,2022-01-05,7,11,12
2022-01-11,3239,3340,2688,770.25,7,11,12,,,,2022-01-06,2022-01-06,7,11,12
2022-01-12,3228,3350,2710,757.75,7,11,12,,,,2022-01-07,2022-01-07,7,11,12
2022-01-13,3231,3362,2720,746.75,7,11,12,,,,#N/A,2022-01-08,7,11,12
2022-01-14,3201,3363,2728,741.5,7,11,12,,,,#N/A,2022-01-09,7,11,12
2022-01-17,3173,3361,2723,755.25,7,12,14.5,,,,2022-01-10,2022-01-10,7,11,12
2022-01-18,3161,3352,2721,769,7,12,14.5,,,,2022-01-11,2022-01-11,7,11,12
2022-01-19,3153,3339,2731,796.5,7,12,14.5,,,,2022-01-12,2022-01-12,7,11,12
2022-01-20,3221,3340,2746,790.25,7,12,14.5,,,,2022-01-13,2022-01-13,7,11,12
2022-01-21,3257,3337,2747,780,7,12,14.5,,,,2022-01-14,2022-01-14,7,11,12
2022-01-24,3263,3336,2735,800.5,7,12,14.5,,,,#N/A,2022-01-15,7,11,12
2022-01-25,3234,3346,2745,818,7,12,14.5,,,,#N/A,2022-01-16,7,12,14.5
2022-01-26,3251,3358,2767,795,7,12,14.5,,,,2022-01-17,2022-01-17,7,12,14.5
2022-01-27,3323,3348,2771,777,7,12,14.5,,,,2022-01-18,2022-01-18,7,12,14.5
2022-01-28,3367,3349,2768,786.25,7.5,12,15,,,,2022-01-19,2022-01-19,7,12,14.5
2022-02-07,3634,3358,2762,768.75,7.5,12,15,,,,2022-01-20,2022-01-20,7,12,14.5
2022-02-08,3707,3367,2780,778.75,7.5,12,15,,,,2022-01-21,2022-01-21,7,12,14.5
2022-02-09,3725,3372,2777,785,7.5,12,15,,,,#N/A,2022-01-22,7,12,14.5
2022-02-10,3792,3354,2783,771.5,7.5,12,15,,,,#N/A,2022-01-23,7,12,14.5
2022-02-11,3800,3348,2776,797.75,7,12,15,,,,2022-01-24,2022-01-24,7,12,14.5
2022-02-14,3753,3486,2777,799.25,7,12,15,,,,2022-01-25,2022-01-25,7,12,14.5
2022-02-15,3686,3498,2774,779.75,7,12,15,,,,2022-01-26,2022-01-26,7,12,14.5
2022-02-16,3684,3482,2763,780.5,6.5,12,15,,,,2022-01-27,2022-01-27,7,12,14.5
2022-02-17,3717,3476,2769,804.75,6.5,12,15,,,,2022-01-28,2022-01-28,7.5,12,15
2022-02-18,3782,3471,2775,804,6.5,12,15,,,,#N/A,2022-01-29,7.5,12,15
2022-02-21,3787,3466,2769,828.25,6.5,12,15,,,春节,#N/A,2022-01-30,7.5,12,15
2022-02-22,3844,3459,2770,852.5,6.5,12,15,,,,2022-02-07,2022-02-07,7.5,12,15
2022-02-23,3867,3451,2789,884.75,6.5,12,15,,,,2022-02-08,2022-02-08,7.5,12,15
