Date,soya_bean_meal_future_price/share,rice_future_price,corn_future_price,Wheat.CBT_price
1/4/2022,3247,3311,2695,770
1/5/2022,3274,3313,2704,760.75
1/6/2022,3247,3363,2688,746
1/7/2022,3229,3355,2676,758.5
1/10/2022,3242,3347,2691,762
1/11/2022,3239,3340,2688,770.25
1/12/2022,3228,3350,2710,757.75
1/13/2022,3231,3362,2720,746.75
1/14/2022,3201,3363,2728,741.5
1/17/2022,3173,3361,2723,755.25
1/18/2022,3161,3352,2721,769
1/19/2022,3153,3339,2731,796.5
1/20/2022,3221,3340,2746,790.25
1/21/2022,3257,3337,2747,780
1/24/2022,3263,3336,2735,800.5
1/25/2022,3234,3346,2745,818
1/26/2022,3251,3358,2767,795
1/27/2022,3323,3348,2771,777
1/28/2022,3367,3349,2768,786.25
2/7/2022,3634,3358,2762,768.75
2/8/2022,3707,3367,2780,778.75
2/9/2022,3725,3372,2777,785
2/10/2022,3792,3354,2783,771.5
2/11/2022,3800,3348,2776,797.75
2/14/2022,3753,3486,2777,799.25
2/15/2022,3686,3498,2774,779.75
2/16/2022,3684,3482,2763,780.5
2/17/2022,3717,3476,2769,804.75
2/18/2022,3782,3471,2775,804
2/21/2022,3787,3466,2769,828.25
2/22/2022,3844,3459,2770,852.5
2/23/2022,3867,3451,2789,884.75
2/24/2022,3989,3450,2828,934.75
2/25/2022,3970,3477,2840,859.75
2/28/2022,3823,3472,2843,934
3/1/2022,3886,3489,2864,984
3/2/2022,3914,3498,2886,1059
3/3/2022,3883,3507,2885,1134
3/4/2022,3901,3510,2899,1209
3/7/2022,4008,3506,2915,1294
3/8/2022,4083,3490,2890,1286.5
3/9/2022,4195,3489,2871,1201.5
3/10/2022,4132,3470,2857,1087
3/11/2022,4185,3471,2854,1106.5
3/14/2022,4164,3457,2848,1096.25
3/15/2022,4176,3440,2859,1154.25
3/16/2022,4127,3430,2855,1069.25
3/17/2022,4189,3400,2854,1098
3/18/2022,4224,3401,2876,1063.75
3/21/2022,4264,3399,2879,1119.25
3/22/2022,4356,3409,2894,1118.25
3/23/2022,4380,3407,2897,1105.75
3/24/2022,4428,3409,2907,1085.75
3/25/2022,4388,3407,2895,1102.25
3/28/2022,4313,3400,2884,1057
3/29/2022,4220,3393,2860,1014.25
3/30/2022,4096,3386,2839,1027.25
3/31/2022,4040,3396,2843,1006
4/1/2022,3909,3377,2848,984.5
