Stkcd,Stknme,Listdt,Conme,Conme_en,Nnindcd,Nnindnme,PROVINCE,PROVINCECODE,CITY,CITYCODE,OWNERSHIPTYPE,OWNERSHIPTYPECODE,Markettype
1,平安银行,4/3/1991,平安银行股份有限公司,"Ping An Bank Co., Ltd.",J66,货币金融服务,广东省,440000,深圳市,440300,私营企业,P0306,4
2,万科A,1/29/1991,万科企业股份有限公司,"China Vanke Co., Ltd.",K70,房地产业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
3,PT 金田A,7/3/1991,金田实业(集团)股份有限公司,"Gintian Industry (Group) Co., Ltd.",S90,综合,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
4,国华网安,1/14/1991,深圳国华网安科技股份有限公司,"Shenzhen Guohua Network Security Technology Co., Ltd.",I65,软件和信息技术服务业,广东省,440000,深圳市,440300,私营企业,P0306,4
5,ST 星源,12/10/1990,深圳世纪星源股份有限公司,Shenzhen Fountain Corporation,N77,生态保护和环境治理业,广东省,440000,深圳市,440300,中外合资,P0303,4
6,深振业A,4/27/1992,深圳市振业(集团)股份有限公司,"Shenzhen Zhenye (Group) Co., Ltd.",K70,房地产业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
7,全新好,4/13/1992,深圳市全新好股份有限公司,"Shenzhen Quanxinhao Co., Ltd.",K70,房地产业,广东省,440000,深圳市,440300,私营企业,P0306,4
8,神州高铁,5/7/1992,神州高铁技术股份有限公司,"China High-Speed Railway Technology Co., Ltd.",C37,铁路、船舶、航空航天和其它运输设备制造业,北京市,110000,北京市,110000,私营企业,P0306,4
9,中国宝安,6/25/1991,中国宝安集团股份有限公司,"China Baoan Group Co., Ltd.",S90,综合,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
10,美丽生态,10/27/1995,深圳美丽生态股份有限公司,"Shenzhen Ecobeauty Co., Ltd.",E48,土木工程建筑业,广东省,440000,深圳市,440300,私营企业,P0306,4
11,深物业A,3/30/1992,深圳市物业发展(集团)股份有限公司,Shenzhen Properties & Resources Development (Group) Ltd.,K70,房地产业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
12,南玻A,2/28/1992,中国南玻集团股份有限公司,"CSG Holding Co., Ltd.",C30,非金属矿物制品业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
13,*ST 石化A,5/6/1992,深圳石化工业集团股份有限公司,"Shenzhen Petrochemical Industry (Group) Co., Ltd.",F51,批发业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
14,沙河股份,6/2/1992,沙河实业股份有限公司,"Shahe Industrial Co., Ltd.",K70,房地产业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
15,PT 中浩A,6/25/1992,深圳中浩(集团)股份有限公司,"Shenzhen Zhonghao (Group) Co., Ltd.",S90,综合,广东省,440000,深圳市,440300,私营企业,P0306,4
16,深康佳A,3/27/1992,康佳集团股份有限公司,"Konka Group Co., Ltd.",C39,计算机、通信和其他电子设备制造业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
17,深中华A,3/31/1992,深圳中华自行车(集团)股份有限公司,Shenzhen China Bicycle Company (Holdings) Limited,C37,铁路、船舶、航空航天和其它运输设备制造业,广东省,440000,深圳市,440300,中外合资,P0303,4
18,神城A退,6/16/1992,神州长城股份有限公司,"Sino Great Wall Co., Ltd.",E50,建筑装饰和其他建筑业,广东省,440000,深圳市,440300,私营企业,P0306,4
19,深粮控股,10/12/1992,深圳市深粮控股股份有限公司,"Shenzhen Cereals Holdings Co., Ltd.",F51,批发业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
20,深华发A,4/28/1992,深圳中恒华发股份有限公司,"Shenzhen Zhongheng Huafa Co., Ltd.",C39,计算机、通信和其他电子设备制造业,广东省,440000,深圳市,440300,中外合资,P0303,4
21,深科技,2/2/1994,深圳长城开发科技股份有限公司,"Shenzhen Kaifa Technology Co., Ltd.",C39,计算机、通信和其他电子设备制造业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
22,深赤湾A,5/5/1993,招商局港口集团股份有限公司,"China Merchants Port Group Co., Ltd.",G55,水上运输业,广东省,440000,深圳市,440300,中外合资,P0303,4
23,*ST 深天,4/29/1993,深圳市天地(集团)股份有限公司,"Shenzhen Universe (Group) Co., Ltd.",C30,非金属矿物制品业,广东省,440000,深圳市,440300,私营企业,P0306,4
24,招商地产,6/7/1993,招商局地产控股股份有限公司,"China Merchants Property Development Co., Ltd.",K70,房地产业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
25,特力A,6/21/1993,深圳市特力(集团)股份有限公司,"Shenzhen Tellus Holding Co., Ltd.",F51,批发业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
26,飞亚达,6/3/1993,飞亚达精密科技股份有限公司,"FIYTA Precision Technology Co., Ltd.",F52,零售业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
27,深圳能源,9/3/1993,深圳能源集团股份有限公司,"Shenzhen Energy Group Co., Ltd.",D44,电力、热力生产和供应业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
28,国药一致,8/9/1993,国药集团一致药业股份有限公司,China National Accord Medicines Corporation Ltd.,F51,批发业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
29,深深房A,9/15/1993,深圳经济特区房地产(集团)股份有限公司,"Shenzhen Special Economic Zone Real Estate & Properties (Group) Co., Ltd.",K70,房地产业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
30,富奥股份,9/29/1993,富奥汽车零部件股份有限公司,FAWER Automotive Parts Limited Company,C36,汽车制造业,吉林省,220000,长春市,220100,国营或国有控股,P0301,4
31,大悦城,10/8/1993,大悦城控股集团股份有限公司,"Grandjoy Holdings Group Co., Ltd.",K70,房地产业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
32,深桑达A,10/28/1993,深圳市桑达实业股份有限公司,"Shenzhen SED Industry Co., Ltd.",E49,建筑安装业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
33,新都退,1/3/1994,深圳新都酒店股份有限公司,"Shenzhen Century Plaza Hotel Co., Ltd.",H61,住宿业,广东省,440000,深圳市,440300,私营企业,P0306,4
34,神州数码,5/9/1994,神州数码集团股份有限公司,"Digital China Group Co., Ltd.",F51,批发业,广东省,440000,深圳市,440300,私营企业,P0306,4
35,中国天楹,4/8/1994,中国天楹股份有限公司,China Tianying Inc.,N77,生态保护和环境治理业,江苏省,320000,海安市,320685,私营企业,P0306,4
36,华联控股,6/17/1994,华联控股股份有限公司,China Union Holdings Ltd.,K70,房地产业,广东省,440000,深圳市,440300,私营企业,P0306,4
