Stkcd,Trdynt,Yclsprc,Ynvaltrd,Ysmvosd,Ndaytrd,Yretwd
1,2000,14.52,33194044205,20228171.57,238,-0.047441
1,2001,12.25,19028769970,17264684.07,239,-0.156336
1,2002,10.49,29300009188,14784207.01,232,-0.135145
1,2003,8.51,23847617281,11993670.32,237,-0.175335
1,2004,6.59,17012472085,9287695.35,241,-0.225617
1,2005,6.14,11382612436,8653482.47,227,-0.068285
1,2006,14.47,41691903166,20393467.63,219,1.356678
1,2007,38.6,1.88781E+11,67813273.19,215,1.935114
1,2008,9.46,1.21339E+11,26342370.22,244,-0.680418
1,2009,24.37,1.92318E+11,71260664.59,232,1.57611
1,2010,15.79,1.42611E+11,49033610.89,192,-0.352072
1,2011,15.59,95739891656,48412541.7,236,-0.012666
1,2012,16.02,65565367397,49747835.51,233,0.035233
1,2013,12.25,2.65328E+11,68304797.97,237,0.235097
1,2014,15.84,2.55729E+11,155813520.5,244,0.57298
1,2015,11.99,5.30605E+11,141530614.4,244,-0.083704
1,2016,9.1,1.22559E+11,133143741.5,244,-0.075692
1,2017,13.3,2.52182E+11,225009262.4,244,0.482743
1,2018,9.38,3.11258E+11,161056914.7,243,-0.283936
1,2019,16.45,3.4466E+11,319224631.6,244,0.772751
1,2020,19.34,4.19513E+11,375307291.6,243,0.195293
1,2021,16.48,4.87954E+11,319806833.8,243,-0.141304
1,2022,13.16,3.85904E+11,255376997.9,242,-0.187244
1,2023,9.39,2.67732E+11,182218085.9,242,-0.268745
2,2000,13.99,23451513986,5577979.16,237,0.555746
2,2001,13.35,13460335523,5322803.56,236,-0.033811
2,2002,9.65,5072467592,3847596.36,233,-0.265477
2,2003,6.54,13024565191,6090893.73,239,0.375402
2,2004,5.26,20265938352,8294218.79,242,0.214562
2,2005,4.31,23322160277,11520379.73,212,0.267021
2,2006,15.44,86178439824,50245691.29,236,2.671332
2,2007,28.84,4.89687E+11,169678004.1,236,1.832039
2,2008,6.45,3.37765E+11,60566903.86,244,-0.640054
2,2009,10.81,4.71466E+11,104382386,242,0.68349
2,2010,8.22,1.95643E+11,79412515.57,240,-0.232341
2,2011,7.47,1.1732E+11,72149580.1,242,-0.079738
2,2012,10.12,1.16411E+11,97779804.62,238,0.373709
2,2013,8.03,2.14497E+11,77699767.08,227,-0.194315
2,2014,13.9,2.4127E+11,134922814.4,245,0.827567
2,2015,24.43,8.08009E+11,237274532.9,235,0.818117
2,2016,20.55,4.02752E+11,199501614.5,123,-0.123486
2,2017,31.06,2.54109E+11,301566668.2,239,0.562549
2,2018,23.82,3.31215E+11,231415350.4,243,-0.202852
2,2019,32.18,3.63695E+11,312634172,244,0.404567
2,2020,28.7,5.56241E+11,278893778.7,243,-0.075387
2,2021,19.76,5.14738E+11,192018852.5,243,-0.270979
2,2022,18.2,4.79785E+11,176855965.5,242,-0.022154
2,2023,10.46,2.60839E+11,101636339.1,242,-0.396196
3,2000,7.5,8637053104,1439406.01,237,0.371115
3,2001,3.6,1257598146,690914.88,80,-0.52
3,2002,2.71,46478939.58,520105.37,14,-0.247222
4,2000,33,5310404778,1374680.74,234,2.877791
4,2001,22.03,1822667471,917703.53,237,-0.332424
4,2002,14.99,1419211687,624438.31,234,-0.317982
4,2003,8.38,727896446,349085.59,240,-0.439715
4,2004,6.81,2029407965,283684.12,242,-0.187351
4,2005,4.14,727824800.8,172459.95,241,-0.39207
4,2006,4.1,889289372.7,213269.84,210,0.237922
4,2007,9.96,4467317133,650285.97,240,1.526439
4,2008,3.56,1517062182,250294.38,243,-0.64257
4,2009,10,2395899445,703074.11,199,1.808989
4,2010,12.04,3104343369,1009881.3,211,0.204
4,2011,8.09,6489184412,678566.42,242,-0.328073
4,2012,8.18,4686567861,686101.25,242,0.011125
4,2013,11.65,6058355497,977149.1,233,0.424205
4,2014,15.57,10456110432,1305940.9,235,0.336481
4,2015,45.9,31966618177,3807950.48,244,1.947977
4,2016,44.9,11223177934,3724966.14,119,-0.021786
4,2017,22.38,8995192959,1856727.25,196,-0.501559
4,2018,16.03,2877981484,1330701.34,228,-0.283736
4,2019,22.59,5169234240,1895768.25,233,0.409233
4,2020,20.7,31391037080,1737116.76,243,-0.083665
4,2021,19.42,22708435718,2259143.42,243,-0.061836
4,2022,9.68,16292177626,1126059.63,241,-0.501545
4,2023,16.13,37097733018,2037026.94,241,0.666322
5,2000,7.73,12529062695,2658202.62,238,0.546106
5,2001,5.17,4239964484,1933319.52,239,-0.271671
5,2002,4.56,4511235700,1705210.25,236,-0.117988
5,2003,2.67,2458552423,998445.48,239,-0.414474
5,2004,2.2,2696032501,822689.16,241,-0.17603
5,2005,1.64,1493560111,613277.37,241,-0.254545
5,2006,2.49,4846235400,1536229.86,191,1.505181
5,2007,7.11,26505717183,5180458.92,201,1.855422
5,2008,2.48,12470459351,1809166.35,244,-0.651195
5,2009,6.02,39131268009,5500732.9,241,1.427419
