City Name,Population
Ananindeua,433956
Anapolis,319587
Aparecida de Goiania,510770
Aracaju,490175
Bauru,335024
Belem,1407737
Belford Roxo,466096
Belo Horizonte,2373224
Betim,384000
Brasilia,2207718
Campina Grande,348936
Campinas,1031554
Campo Grande,729151
Campos dos Goytacazes,387417
Canoas,328291
Carapicuiba,361112
Caxias do Sul,381270
Contagem,627123
Cuiaba,521934
Curitiba,1718421
Diadema,390633
Duque de Caxias,818329
Feira de Santana,481911
Florianopolis,412724
Fortaleza,2400000
Goiania,1171195
Guarulhos,1169577
Itaquaquecetuba,336679
Jaboatao,702621
Jaboatao dos Guararapes,630008
Joao Pessoa,650883
Joinville,461304
Juiz de Fora,470193
Jundiai,321589
Londrina,471832
Macapa,338936
Maceio,954991
Manaus,1598210
Maringa,311724
Maua,386069
Mogi das Cruzes,325746
Montes Claros,332379
Natal,763043
Niteroi,456456
Nova Iguacu,1002118
Olinda,366754
Osasco,677856
Pelotas,320674
Piracicaba,342209
Porto Alegre,1372741
Recife,1478098
Ribeirao Preto,619746
Ribeirao das Neves,406802
Rio de Janeiro,6023699
Salvador,2711840
Santo Andre,662373
Santos,411403
Sao Bernardo do Campo,743372
Sao Joao de Meriti,454849
Sao Jose do Rio Preto,374699
Sao Jose dos Campos,613764
Sao Luis,917237
Sao Paulo,10021295
Sao Vicente,324457
Serra,394153
Sorocaba,558862
Teresina,744512
Uberlandia,563536
Vila Velha,394930
Vitoria,312656
