danjia,area,floor,hall,room,school,chaoxiang,year,subway,district,city
54237,295,低层,9,5,0,南向,2009,0,宝安,深圳
84459,296,低层,9,3,1,南向,2009,0,宝安,深圳
53333,300,低层,9,3,0,南向,2010,0,宝安,深圳
63265,245,高层,9,3,1,南向,2009,0,宝安,深圳
54217,83,高层,9,3,0,南北向,1992,0,思明,厦门
58871,124,高层,8,3,1,南北向,1999,0,龙岗,深圳
47325,243,高层,8,3,1,南北向,2009,0,宝安,深圳
59949,350,低层,8,3,1,南向,2008,0,岛外,厦门
36041,319,高层,8,3,0,其他,1999,0,思明,厦门
66890,299,高层,8,2,1,南北向,2007,0,龙岗,深圳
58824,170,高层,8,2,1,南北向,2007,0,龙岗,深圳
74667,375,低层,8,2,0,南向,2013,0,岛外,厦门
46961,181,高层,8,2,1,南北向,2012,0,岛外,厦门
52240,306,中层,7,4,0,南向,2014,0,龙岗,深圳
95890,365,高层,7,4,1,南向,2006,0,南山,深圳
48105,343,高层,7,3,1,南北向,2000,1,黄埔,广州
90811,185,高层,7,3,1,南北向,2006,0,宝安,深圳
58857,124,高层,7,3,1,南向,1999,0,龙岗,深圳
83102,289,高层,7,3,1,其他,2012,0,龙岗,深圳
64798,321,低层,7,3,0,南向,2000,0,福田,深圳
95000,160,高层,7,3,1,其他,2000,0,福田,深圳
85470,351,中层,7,3,0,其他,2016,0,宝安,深圳
49383,243,高层,7,3,1,南向,2009,0,宝安,深圳
51933,228,高层,7,3,1,南北向,2004,0,思明,厦门
51933,228,高层,7,3,1,南北向,2004,0,思明,厦门
88161,397,高层,7,3,1,南北向,2009,0,思明,厦门
73955,311,低层,7,2,0,南北向,1992,0,罗湖,深圳
56237,156,高层,7,2,1,南北向,1999,0,思明,厦门
104074,325,低层,7,1,0,南向,2004,0,思明,厦门
83333,168,低层,6,5,0,南向,2016,0,南山,深圳
43651,252,低层,6,4,0,南向,2008,0,龙岗,深圳
92547,322,高层,6,4,0,南向,2016,0,宝安,深圳
48780,164,高层,6,4,1,南北向,1996,0,南山,深圳
31481,216,高层,6,4,0,南北向,2000,0,湖里,厦门
45431,194,低层,6,3,1,其他,2007,1,黄埔,广州
85233,386,高层,6,3,1,其他,2007,1,天河,广州
38860,386,低层,6,3,0,其他,2005,0,番禺,广州
47619,252,低层,6,3,0,南向,2017,0,天河,广州
48684,380,高层,6,3,1,南向,2012,1,番禺,广州
42654,211,低层,6,3,0,南北向,2015,0,天河,广州
44444,270,低层,6,3,1,南向,2009,0,龙岗,深圳
57522,226,低层,6,3,1,南向,2012,0,龙岗,深圳
50794,252,低层,6,3,0,南向,2008,0,龙岗,深圳
84000,250,中层,6,3,0,其他,2016,0,宝安,深圳
60000,150,低层,6,3,1,南北向,2007,0,罗湖,深圳
93333,150,低层,6,3,0,其他,2015,0,罗湖,深圳
65200,150,低层,6,3,0,其他,2015,0,罗湖,深圳
110000,371,中层,6,3,1,其他,2016,0,南山,深圳
72595,276,低层,6,3,0,南向,2009,0,南山,深圳
92915,247,低层,6,3,0,南向,2009,0,南山,深圳
77267,246,低层,6,3,0,南向,2009,0,南山,深圳
77580,258,低层,6,3,0,南向,2009,0,南山,深圳
40476,210,低层,6,3,1,南向,2000,0,龙岗,深圳
98474,223,低层,6,3,0,南向,2006,0,罗湖,深圳
59858,160,中层,6,3,0,南北向,2010,0,龙岗,深圳
94023,266,低层,6,3,0,南向,2012,0,龙华,深圳
84333,300,中层,6,3,0,其他,2016,0,宝安,深圳
78571,350,中层,6,3,0,其他,2016,0,宝安,深圳
82671,337,低层,6,3,0,南向,2014,0,宝安,深圳
98340,241,低层,6,3,1,南北向,2016,0,龙华,深圳
82514,350,中层,6,3,0,南北向,2016,0,宝安,深圳
86452,310,低层,6,3,1,南北向,2008,0,龙华,深圳
71084,166,高层,6,3,1,南北向,1995,0,南山,深圳
108949,257,低层,6,3,1,南向,2008,0,龙华,深圳
101167,257,中层,6,3,1,南北向,2008,0,宝安,深圳
85227,176,低层,6,3,1,南北向,2008,0,宝安,深圳
77838,370,高层,6,3,1,南北向,2009,0,宝安,深圳
36058,208,高层,6,3,0,南向,2005,0,龙华,深圳
121286,196,低层,6,3,0,南向,2003,0,罗湖,深圳
40209,191,低层,6,3,0,南北向,2006,0,湖里,厦门
43470,268,低层,6,3,1,南向,2011,0,岛外,厦门
38462,286,中层,6,3,0,南向,2011,0,岛外,厦门
53556,239,高层,6,3,1,南北向,2004,0,思明,厦门
40993,191,低层,6,3,0,南北向,2006,0,湖里,厦门
40993,191,低层,6,3,0,南北向,2006,0,湖里,厦门
77163,141,中层,6,3,1,南北向,2006,0,思明,厦门
40427,264,高层,6,3,0,南北向,1998,0,思明,厦门
70248,339,低层,6,3,0,南向,1995,0,思明,厦门
70248,339,低层,6,3,0,南向,1995,0,思明,厦门
39604,303,低层,6,3,0,南向,2010,0,湖里,厦门
70248,339,低层,6,3,0,南向,1995,0,思明,厦门
121554,399,低层,6,3,1,南北向,2016,0,湖里,厦门
53556,239,高层,6,3,1,南北向,2004,0,思明,厦门
37714,175,高层,6,3,0,南北向,2009,0,岛外,厦门
37714,175,高层,6,3,0,南北向,2009,0,岛外,厦门
25203,246,低层,6,2,0,南向,1999,1,番禺,广州
26768,198,低层,6,2,0,南向,2012,0,白云,广州
95890,365,高层,6,2,1,南北向,2014,1,天河,广州
63636,330,高层,6,2,1,南北向,2005,0,天河,广州
58578,307,中层,6,2,0,其他,2014,0,龙岗,深圳
92667,300,高层,6,2,0,南北向,2015,0,南山,深圳
94737,190,中层,6,2,0,南北向,2015,0,南山,深圳
91491,175,中层,6,2,0,南向,2005,0,宝安,深圳
80769,260,低层,6,2,0,南向,2009,0,龙岗,深圳
47096,255,低层,6,2,1,南向,2011,0,龙岗,深圳
75245,266,低层,6,2,0,南向,2009,0,南山,深圳
76705,176,高层,6,2,1,南北向,2012,0,南山,深圳
74320,229,低层,6,2,1,其他,2011,0,宝安,深圳
40526,212,高层,6,2,1,南向,2012,0,宝安,深圳
63060,268,中层,6,2,1,其他,1998,0,福田,深圳
25782,175,高层,6,2,1,南北向,2003,0,坪山,深圳
59172,169,中层,6,2,0,其他,2010,0,龙岗,深圳
61250,160,中层,6,2,0,其他,2010,0,龙岗,深圳
59255,270,中层,6,2,1,其他,2016,0,龙华,深圳
103513,279,高层,6,2,1,南北向,2007,0,龙华,深圳
60350,249,高层,6,2,1,其他,1998,0,罗湖,深圳
75233,222,高层,6,2,1,南向,2004,0,罗湖,深圳
60123,163,低层,6,2,1,其他,2012,0,龙岗,深圳
81395,258,中层,6,2,1,南北向,2007,0,龙岗,深圳
86310,168,中层,6,2,1,南向,2008,0,宝安,深圳
55000,200,高层,6,2,1,南向,2003,0,罗湖,深圳
57836,268,低层,6,2,1,南北向,2016,0,龙华,深圳
89820,167,中层,6,2,1,南向,2008,0,宝安,深圳
32368,228,低层,6,2,1,其他,2007,0,龙岗,深圳
40851,235,高层,6,2,1,南北向,2006,0,龙岗,深圳
48315,178,高层,6,2,1,南北向,2013,0,龙华,深圳
92096,291,中层,6,2,1,南北向,2010,0,南山,深圳
